empresa_locacao, modelo_carro, quilometragem, ano, preco
Movida,HYUNDAI HB20S 1.0 COMFORT PLUS 12V FLEX 4P MANUAL,32.557,2017,R$ 43.690
Movida,TOYOTA ETIOS 1.3 X 16V FLEX 4P MANUAL,70.466,2018,R$ 39.890
Movida,TOYOTA ETIOS 1.3 X 16V FLEX 4P MANUAL,51.856,2018,R$ 40.330
Movida,MERCEDES-BENZ C 180 1.6 CGI AVANTGARDE 16V TURBO GASOLINA 4P AUTOMATICO,29.914,2017,R$ 131.360
Movida,MERCEDES-BENZ C 180 1.6 CGI AVANTGARDE 16V TURBO GASOLINA 4P AUTOMATICO,25.59,2017,R$ 131.360
Movida,MERCEDES-BENZ C 180 1.6 CGI AVANTGARDE 16V TURBO GASOLINA 4P AUTOMATICO,21.638,2017,R$ 134.130
Movida,MERCEDES-BENZ C 180 1.6 CGI AVANTGARDE 16V TURBO GASOLINA 4P AUTOMATICO,14.808,2017,R$ 135.430
Movida,MERCEDES-BENZ C 180 1.6 CGI AVANTGARDE 16V TURBO GASOLINA 4P AUTOMATICO,33.452,2017,R$ 131.360
Movida,MERCEDES-BENZ C 180 1.6 CGI AVANTGARDE 16V TURBO GASOLINA 4P AUTOMATICO,38.043,2017,R$ 128.660
Movida,MERCEDES-BENZ C 180 1.6 CGI AVANTGARDE 16V TURBO GASOLINA 4P AUTOMATICO,29.397,2017,R$ 131.360
Movida,MERCEDES-BENZ C 180 1.6 CGI AVANTGARDE 16V TURBO GASOLINA 4P AUTOMATICO,21.19,2017,R$ 134.130
Movida,MERCEDES-BENZ C 180 1.6 CGI AVANTGARDE 16V TURBO GASOLINA 4P AUTOMATICO,15.864,2017,R$ 134.130
Movida,MERCEDES-BENZ C 180 1.6 CGI AVANTGARDE 16V TURBO GASOLINA 4P AUTOMATICO,22.298,2017,R$ 134.130
Movida,CHEVROLET ONIX 1.0 MPFI JOY 8V FLEX 4P MANUAL,44.767,2017,R$ 34.990
